# <seq_name> <frame.png> <n_obj> <zmin> <zmax>
# {"root": "E:/data_collect", "max_dist": 15.0, "mode": "all", "metric": "z", "min_z": 0.5, "max_objects": 0, "train_ratio": 0.8, "seed": 0}
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.6641.png 2 8.92 11.11
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.7308.png 2 8.56 11.11
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.7975.png 2 8.18 11.08
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.8642.png 2 7.87 11.02
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.9309.png 2 7.61 10.93
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 74.9976.png 2 7.41 10.80
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.0643.png 2 7.28 10.63
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.1310.png 2 7.21 10.43
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.1977.png 2 7.20 10.18
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.2644.png 2 7.27 9.90
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.3311.png 2 7.41 9.59
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.3978.png 2 7.62 9.26
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.4645.png 2 7.91 8.94
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.5312.png 2 8.30 8.64
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.5979.png 2 8.35 8.78
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.6646.png 2 8.10 9.35
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.7313.png 2 7.87 9.93
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.7980.png 2 7.68 10.46
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.8647.png 2 7.52 10.92
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.9314.png 2 7.40 11.28
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 75.9981.png 2 7.32 11.56
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.0648.png 2 7.27 11.74
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.1315.png 2 7.27 11.82
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.1982.png 2 7.30 11.81
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.2649.png 2 7.37 11.69
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.3316.png 2 7.49 11.48
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.3983.png 2 7.64 11.17
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.4650.png 2 7.84 10.76
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.5317.png 2 8.03 10.41
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.5984.png 2 8.23 10.13
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.6651.png 2 8.43 9.91
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.7318.png 2 8.62 9.76
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.7985.png 2 8.81 9.68
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.8652.png 2 9.01 9.66
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.9319.png 2 9.19 9.71
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 76.9986.png 2 9.37 9.83
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.0653.png 2 9.55 10.02
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.1320.png 2 9.72 10.28
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.1987.png 2 9.89 10.60
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.2654.png 2 10.05 10.99
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.3321.png 2 10.19 11.44
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.3988.png 2 10.32 11.94
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.4655.png 2 10.44 12.45
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.5322.png 2 10.53 12.94
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.5989.png 2 10.62 13.38
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.6656.png 2 10.72 13.75
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.7323.png 2 10.80 14.04
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.7990.png 2 10.89 14.25
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.8657.png 2 10.98 14.37
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.9324.png 2 11.06 14.40
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 77.9991.png 2 11.13 14.36
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 78.0658.png 2 11.21 14.23
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 78.1325.png 2 11.28 14.02
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 78.1992.png 2 11.34 13.74
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 78.2659.png 2 11.41 13.39
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 78.3326.png 2 11.47 12.99
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 78.3993.png 2 11.52 12.62
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 78.4660.png 2 11.57 12.28
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 78.5327.png 2 11.62 11.97
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 78.5994.png 2 11.66 11.69
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 78.6661.png 2 11.45 11.70
No-MotionBlur/carla_data/00002/clear_night/DJI-mavic-mini=DJI-avata2 78.7328.png 2 11.24 11.74
No-MotionBlur/carla_data/00002/clear_night/Matrice-600-Pro=m210-rtk 112.6870.png 2 14.14 14.66
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.2223.png 2 9.63 11.95
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.2890.png 2 9.66 12.34
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.3557.png 2 9.69 12.72
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.4224.png 2 9.72 13.08
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.4891.png 2 9.75 13.39
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.5558.png 2 9.78 13.64
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.6225.png 2 9.81 13.85
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.6892.png 2 9.84 14.00
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.7559.png 2 9.87 14.09
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.8226.png 2 9.90 14.14
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.8893.png 2 9.93 14.14
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 10.9560.png 2 9.95 14.09
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.0227.png 2 9.98 13.99
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.0894.png 2 10.01 13.84
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.1561.png 2 10.03 13.65
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.2228.png 2 10.05 13.42
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.2895.png 2 10.07 13.14
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.3562.png 2 10.09 12.83
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.4229.png 2 10.10 12.54
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.4896.png 2 10.13 12.28
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.5563.png 2 10.16 12.04
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.6230.png 2 10.20 11.83
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.6897.png 2 10.24 11.65
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.7564.png 2 10.29 11.50
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.8231.png 2 10.34 11.37
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.8898.png 2 10.39 11.27
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 11.9565.png 2 10.44 11.20
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.0232.png 2 10.49 11.16
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.0899.png 2 10.55 11.15
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.1566.png 2 10.61 11.16
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.2233.png 2 10.66 11.20
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.2900.png 2 10.72 11.28
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.3567.png 2 10.78 11.38
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.4234.png 2 10.84 11.52
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.4901.png 2 10.90 11.69
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.5568.png 2 10.96 11.90
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.6235.png 2 11.02 12.14
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.6902.png 2 11.08 12.42
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.7569.png 2 11.13 12.74
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.8236.png 2 11.19 13.08
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.8903.png 2 11.25 13.42
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 12.9570.png 2 11.30 13.75
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 13.0237.png 2 11.35 14.06
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 13.0904.png 2 11.40 14.33
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 13.1571.png 2 11.45 14.57
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 13.2238.png 2 11.49 14.77
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 13.2905.png 2 11.54 14.93
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 13.7574.png 2 11.79 14.88
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 13.8241.png 2 11.86 14.71
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 13.8908.png 2 11.95 14.50
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 13.9575.png 2 12.04 14.24
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.0242.png 2 12.14 13.95
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.0909.png 2 12.25 13.65
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.1576.png 2 12.36 13.37
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.2243.png 2 12.47 13.14
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.2910.png 2 12.59 12.95
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.3577.png 2 12.71 12.81
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.4244.png 2 12.73 12.82
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.4911.png 2 12.70 12.94
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.5578.png 2 12.73 13.06
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.6245.png 2 12.80 13.17
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.6912.png 2 12.92 13.29
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.7579.png 2 13.09 13.40
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.8246.png 2 13.31 13.50
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.8913.png 2 13.52 13.60
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 14.9580.png 2 13.70 13.75
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 15.0247.png 2 13.79 13.97
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 15.0914.png 2 13.87 14.20
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 15.1581.png 2 13.94 14.42
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 15.2248.png 2 14.00 14.64
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-avata2 15.2915.png 2 14.04 14.85
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 14.6698.png 2 13.46 14.70
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 14.7365.png 2 13.41 14.60
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 14.8032.png 2 13.38 14.50
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 14.8699.png 2 13.37 14.38
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 14.9366.png 2 13.37 14.27
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.0033.png 2 13.38 14.15
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.0700.png 2 13.41 14.04
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.1367.png 2 13.46 13.93
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.2034.png 2 13.51 13.84
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.2701.png 2 13.58 13.77
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.3368.png 2 13.66 13.71
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.4035.png 2 13.68 13.75
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.4702.png 2 13.69 13.85
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.5369.png 2 13.74 13.96
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.6036.png 2 13.83 14.07
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.6703.png 2 13.94 14.20
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.7370.png 2 14.08 14.33
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.8037.png 2 14.25 14.47
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.8704.png 2 14.44 14.61
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 15.9371.png 2 14.65 14.76
No-MotionBlur/carla_data/00002/fog_day/DJI-mavic-mini=DJI-phantom4 16.0038.png 2 14.87 14.92
No-MotionBlur/carla_data/00002/fog_day/drone-unk3=DJI-phantom4 10.3423.png 2 12.93 14.90
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 71.2922.png 2 7.58 14.86
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 71.3589.png 2 7.69 14.10
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 71.4256.png 2 7.82 13.34
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 71.4923.png 2 7.98 12.57
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 71.5590.png 2 8.14 11.80
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 71.6257.png 2 8.32 11.03
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 71.6924.png 2 8.52 10.25
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 71.7591.png 2 8.72 9.47
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 71.8258.png 2 8.69 8.92
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 71.8925.png 2 7.91 9.13
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 71.9592.png 2 7.13 9.35
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 72.0259.png 2 6.36 9.56
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 72.0926.png 2 5.60 9.78
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 72.1593.png 2 4.93 9.99
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 72.2260.png 2 4.32 10.21
No-MotionBlur/carla_data/00002/fog_night/DJI-mavic-mini=DJI-phantom4 72.2927.png 2 3.79 10.41
